Llama3.3_70B_IndependentSwapCF_response,Llama3.3_70B_IndependentSwapCF_mitigation_response,Llama3.3_70B_IndependentSwapCF_inline_response,Llama3.3_70B_IndependentSwapCF_CoT_response,Llama3.3_70B_IndependentSwapCF_EXM,Llama3.3_70B_IndependentSwapCF_mitigation_EXM,Llama3.3_70B_IndependentSwapCF_inline_EXM,Llama3.3_70B_IndependentSwapCF_CoT_EXM,Llama3.3_70B_IndependentSwapCF_retrieval,Llama3.3_70B_IndependentSwapCF_mitigation_retrieval,Llama3.3_70B_IndependentSwapCF_inline_retrieval,Llama3.3_70B_IndependentSwapCF_CoT_retrieval,Llama3.3_70B_IndependentSwapCF_bleu,Llama3.3_70B_IndependentSwapCF_mitigation_bleu,Llama3.3_70B_IndependentSwapCF_inline_bleu,Llama3.3_70B_IndependentSwapCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
"['private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }']","['private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }']","['private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = System.currentTimeMillis(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { lastCacheCleanupMillis = System.currentTimeMillis(); serviceListeners.cleanUp(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { lastCacheCleanupMillis = currentTime; serviceListeners.cleanUp(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = System.currentTimeMillis(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { lastCacheCleanupMillis = System.currentTimeMillis(); serviceListeners.cleanUp(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { lastCacheCleanupMillis = currentTime; serviceListeners.cleanUp(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = System.currentTimeMillis(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { lastCacheCleanupMillis = currentTime; serviceListeners.cleanUp(); } }']","['private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = System.currentTimeMillis(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { lastCacheCleanupMillis = System.currentTimeMillis(); serviceListeners.cleanUp(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); } lastCacheCleanupMillis = System.currentTimeMillis(); }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { lastCacheCleanupMillis = currentTime; serviceListeners.cleanUp(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { lastCacheCleanupMillis = System.currentTimeMillis(); serviceListeners.cleanUp(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = System.currentTimeMillis(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { lastCacheCleanupMillis = currentTime; serviceListeners.cleanUp(); } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { serviceListeners.cleanUp(); lastCacheCleanupMillis = currentTime; } }', 'private void serviceCacheCleanup() { long updateTime = lastCacheCleanupMillis + (DataServiceConstants.STREAMING_CACHE_CLEANUP_INTERVAL_SECONDS * 1000); long currentTime = System.currentTimeMillis(); if (updateTime <= currentTime) { lastCacheCleanupMillis = System.currentTimeMillis(); serviceListeners.cleanUp(); } }']",True,True,True,True,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
