gpt-3.5-turbo_NullAssertCF_response,gpt-3.5-turbo_NullAssertCF_mitigation_response,gpt-3.5-turbo_NullAssertCF_inline_response,gpt-3.5-turbo_NullAssertCF_CoT_response,gpt-3.5-turbo_NullAssertCF_EXM,gpt-3.5-turbo_NullAssertCF_mitigation_EXM,gpt-3.5-turbo_NullAssertCF_inline_EXM,gpt-3.5-turbo_NullAssertCF_CoT_EXM,gpt-3.5-turbo_NullAssertCF_retrieval,gpt-3.5-turbo_NullAssertCF_mitigation_retrieval,gpt-3.5-turbo_NullAssertCF_inline_retrieval,gpt-3.5-turbo_NullAssertCF_CoT_retrieval,gpt-3.5-turbo_NullAssertCF_bleu,gpt-3.5-turbo_NullAssertCF_mitigation_bleu,gpt-3.5-turbo_NullAssertCF_inline_bleu,gpt-3.5-turbo_NullAssertCF_CoT_bleu
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
"['public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (""test ok"" != result) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equals(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equals(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equalsIgnoreCase(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equalsIgnoreCase(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.contains(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".contentEquals(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.contentEquals(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.matches(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".matches(result)) { assertEquals(""test ok"",result); } }']","['public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (""test ok"" != result) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equals(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equals(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".contentEquals(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.contentEquals(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equalsIgnoreCase(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equalsIgnoreCase(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equalsIgnoreWhitespace(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equalsIgnoreCase(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equals(result.trim())) { assertEquals(""test ok"",result); } }']","['public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (""test ok"" != result) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equals(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equals(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equalsIgnoreCase(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".contentEquals(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.contentEquals(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equalsIgnoreCase(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equals(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equals(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equalsIgnoreCase(""test ok"")) { assertEquals(""test ok"",result); } }']","['public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (""test ok"" != result) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equals(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equals(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".contentEquals(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.contentEquals(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equalsIgnoreCase(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.equalsIgnoreCase(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".contentEqualsIgnoreCase(result)) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!result.contentEqualsIgnoreCase(""test ok"")) { assertEquals(""test ok"",result); } }', 'public void JERSEY_2643() { String result = target(""JERSEY-2643"").request().get(String.class); if (!""test ok"".equalsIgnoreWhitespace(result)) { assertEquals(""test ok"",result); } }']",True,True,True,True,False,False,False,False,0.0,0.0,0.0,0.0
,,,,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0
