T5_IfElseSwap_Org_EXM,LLaMaLoRa_IfElseSwap_Org_EXM,Llama3.3_70B_IfElseSwap_Org_EXM,gpt-3.5-turbo_IfElseSwap_Org_EXM,DeepSeek-V3_IfElseSwap_Org_EXM,IfElseSwap_org_pert_tokenEdit,IfElseSwap_pert_fix_tokenEdit,IfElseSwap_Pert_length,IfElseSwap_pos,IfElseSwap_Wpert_dist,IfElseSwap_pert_dist,IfElseSwap_org_tgt_tokenEdit,T5_EqualAssert_Org_EXM,LLaMaLoRa_EqualAssert_Org_EXM,Llama3.3_70B_EqualAssert_Org_EXM,gpt-3.5-turbo_EqualAssert_Org_EXM,DeepSeek-V3_EqualAssert_Org_EXM,EqualAssert_org_pert_tokenEdit,EqualAssert_pert_fix_tokenEdit,EqualAssert_Pert_length,EqualAssert_pos,EqualAssert_Wpert_dist,EqualAssert_pert_dist,EqualAssert_org_tgt_tokenEdit,T5_NullAssert_Org_EXM,LLaMaLoRa_NullAssert_Org_EXM,Llama3.3_70B_NullAssert_Org_EXM,gpt-3.5-turbo_NullAssert_Org_EXM,DeepSeek-V3_NullAssert_Org_EXM,NullAssert_org_pert_tokenEdit,NullAssert_pert_fix_tokenEdit,NullAssert_Pert_length,NullAssert_pos,NullAssert_Wpert_dist,NullAssert_pert_dist,NullAssert_org_tgt_tokenEdit,T5_TrueFalseAssert_Org_EXM,LLaMaLoRa_TrueFalseAssert_Org_EXM,Llama3.3_70B_TrueFalseAssert_Org_EXM,gpt-3.5-turbo_TrueFalseAssert_Org_EXM,DeepSeek-V3_TrueFalseAssert_Org_EXM,TrueFalseAssert_org_pert_tokenEdit,TrueFalseAssert_pert_fix_tokenEdit,TrueFalseAssert_Pert_length,TrueFalseAssert_pos,TrueFalseAssert_Wpert_dist,TrueFalseAssert_pert_dist,TrueFalseAssert_org_tgt_tokenEdit,T5_DeadException_Org_EXM,LLaMaLoRa_DeadException_Org_EXM,Llama3.3_70B_DeadException_Org_EXM,gpt-3.5-turbo_DeadException_Org_EXM,DeepSeek-V3_DeadException_Org_EXM,DeadException_org_pert_tokenEdit,DeadException_pert_fix_tokenEdit,DeadException_Pert_length,DeadException_pos,DeadException_Wpert_dist,DeadException_pert_dist,DeadException_org_tgt_tokenEdit,T5_DeadVariable_Org_EXM,LLaMaLoRa_DeadVariable_Org_EXM,Llama3.3_70B_DeadVariable_Org_EXM,gpt-3.5-turbo_DeadVariable_Org_EXM,DeepSeek-V3_DeadVariable_Org_EXM,DeadVariable_org_pert_tokenEdit,DeadVariable_pert_fix_tokenEdit,DeadVariable_Pert_length,DeadVariable_pos,DeadVariable_Wpert_dist,DeadVariable_pert_dist,DeadVariable_org_tgt_tokenEdit,T5_TryNcatchWrapper_Org_EXM,LLaMaLoRa_TryNcatchWrapper_Org_EXM,Llama3.3_70B_TryNcatchWrapper_Org_EXM,gpt-3.5-turbo_TryNcatchWrapper_Org_EXM,DeepSeek-V3_TryNcatchWrapper_Org_EXM,TryNcatchWrapper_org_pert_tokenEdit,TryNcatchWrapper_pert_fix_tokenEdit,TryNcatchWrapper_Pert_length,TryNcatchWrapper_pos,TryNcatchWrapper_Wpert_dist,TryNcatchWrapper_pert_dist,TryNcatchWrapper_org_tgt_tokenEdit,T5_IndependentLineSwap_Org_EXM,LLaMaLoRa_IndependentLineSwap_Org_EXM,Llama3.3_70B_IndependentLineSwap_Org_EXM,gpt-3.5-turbo_IndependentLineSwap_Org_EXM,DeepSeek-V3_IndependentLineSwap_Org_EXM,IndependentLineSwap_org_pert_tokenEdit,IndependentLineSwap_pert_fix_tokenEdit,IndependentLineSwap_Pert_length,IndependentLineSwap_pos,IndependentLineSwap_Wpert_dist,IndependentLineSwap_pert_dist,IndependentLineSwap_org_tgt_tokenEdit,T5_ReturnViaVariable_Org_EXM,LLaMaLoRa_ReturnViaVariable_Org_EXM,Llama3.3_70B_ReturnViaVariable_Org_EXM,gpt-3.5-turbo_ReturnViaVariable_Org_EXM,DeepSeek-V3_ReturnViaVariable_Org_EXM,ReturnViaVariable_org_pert_tokenEdit,ReturnViaVariable_pert_fix_tokenEdit,ReturnViaVariable_Pert_length,ReturnViaVariable_pos,ReturnViaVariable_Wpert_dist,ReturnViaVariable_pert_dist,ReturnViaVariable_org_tgt_tokenEdit,T5_defUseBreak_Org_EXM,LLaMaLoRa_defUseBreak_Org_EXM,Llama3.3_70B_defUseBreak_Org_EXM,gpt-3.5-turbo_defUseBreak_Org_EXM,DeepSeek-V3_defUseBreak_Org_EXM,defUseBreak_org_pert_tokenEdit,defUseBreak_pert_fix_tokenEdit,defUseBreak_Pert_length,defUseBreak_pos,defUseBreak_Wpert_dist,defUseBreak_pert_dist,defUseBreak_org_tgt_tokenEdit,T5_DataType_Org_EXM,LLaMaLoRa_DataType_Org_EXM,Llama3.3_70B_DataType_Org_EXM,gpt-3.5-turbo_DataType_Org_EXM,DeepSeek-V3_DataType_Org_EXM,DataType_org_pert_tokenEdit,DataType_pert_fix_tokenEdit,DataType_Pert_length,DataType_pos,DataType_Wpert_dist,DataType_pert_dist,DataType_org_tgt_tokenEdit,T5_RandomNames_Org_EXM,LLaMaLoRa_RandomNames_Org_EXM,Llama3.3_70B_RandomNames_Org_EXM,gpt-3.5-turbo_RandomNames_Org_EXM,DeepSeek-V3_RandomNames_Org_EXM,RandomNames_org_pert_tokenEdit,RandomNames_pert_fix_tokenEdit,RandomNames_Pert_length,RandomNames_pos,RandomNames_Wpert_dist,RandomNames_pert_dist,RandomNames_org_tgt_tokenEdit,T5_ShuffleNames_Org_EXM,LLaMaLoRa_ShuffleNames_Org_EXM,Llama3.3_70B_ShuffleNames_Org_EXM,gpt-3.5-turbo_ShuffleNames_Org_EXM,DeepSeek-V3_ShuffleNames_Org_EXM,ShuffleNames_org_pert_tokenEdit,ShuffleNames_pert_fix_tokenEdit,ShuffleNames_Pert_length,ShuffleNames_pos,ShuffleNames_Wpert_dist,ShuffleNames_pert_dist,ShuffleNames_org_tgt_tokenEdit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,True,12.0,2.0,37.0,Before,1.0,1.0,2.0,False,False,True,True,True,9.0,2.0,34.0,Before,1.0,1.0,2.0,False,True,True,True,True,6.0,2.0,31.0,Surrounding,11.0,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,False,12.0,1.0,59.0,After,1.0,1.0,1.0,False,True,,,False,9.0,1.0,56.0,After,1.0,1.0,1.0,,,,,,,,,,,,,False,True,,,False,10.0,1.0,47.0,After,9.0,9.0,1.0,,,,,,,,,,,,,False,False,,,False,6.0,1.0,52.0,After,8.67,14.0,1.0,,,,,,,,,,,,,True,False,,,True,10.0,1.0,47.0,Overlap-After,17.8,17.8,1.0,True,False,,,True,8.0,1.0,47.0,After,19.88,19.88,1.0
,,,,,,,,,,,,False,True,,,,5.0,3.0,40.0,Before,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,12.0,3.0,47.0,Before,1.0,1.0,3.0,False,True,,,,9.0,3.0,44.0,Before,1.0,1.0,3.0,False,True,,,,6.0,3.0,41.0,Surrounding,7.67,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,9.0,3.0,35.0,Overlap-Both,4.6,4.57,3.0,True,True,,,,4.0,3.0,35.0,Surrounding,5.0,5.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,12.0,1.0,27.0,Before,1.0,1.0,1.0,True,True,True,True,True,9.0,1.0,24.0,Before,1.0,1.0,1.0,True,True,True,True,True,6.0,1.0,21.0,Surrounding,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,2.0,1.0,15.0,Overlap-Before,0.5,0.5,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,,12.0,2.0,23.0,Before,1.0,1.0,2.0,False,False,True,False,,9.0,2.0,20.0,Before,1.0,1.0,2.0,True,False,True,True,,6.0,2.0,17.0,Surrounding,1.0,1.0,2.0,,,,,,,,,,,,,False,False,False,False,,8.0,2.0,18.0,Surrounding,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,,12.0,1.0,43.0,Before,1.0,1.0,1.0,False,True,True,True,,9.0,1.0,40.0,Before,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,,1.0,1.0,31.0,After,11.0,11.0,1.0,,,,,,,,,,,,,True,True,True,True,,8.0,1.0,31.0,Overlap-Both,5.25,4.43,1.0,True,True,True,True,,4.0,1.0,31.0,Overlap-Both,5.0,5.0,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,True,12.0,2.0,23.0,Before,5.0,5.0,2.0,False,,,,True,9.0,2.0,20.0,Before,5.0,5.0,2.0,False,,,,True,6.0,2.0,17.0,Surrounding,1.67,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,True,12.0,6.0,41.0,Before,10.0,10.0,6.0,False,True,True,True,True,9.0,6.0,38.0,Before,10.0,10.0,6.0,False,True,True,True,True,6.0,6.0,35.0,Surrounding,5.83,7.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,True,11.0,6.0,38.0,Overlap-Both,1.0,1.0,6.0,,,,,,,,,,,,,True,True,True,True,True,6.0,6.0,29.0,Overlap-Both,3.33,3.33,6.0,True,True,True,True,True,0.0,6.0,29.0,Overlap-Both,0.0,0.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,12.0,1.0,32.0,Before,1.0,1.0,1.0,True,True,,,,9.0,1.0,29.0,Before,1.0,1.0,1.0,True,True,,,,6.0,1.0,26.0,Surrounding,4.33,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,4.0,1.0,20.0,Overlap-Both,1.75,1.75,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,True,False,12.0,1.0,27.0,Before,1.0,1.0,1.0,False,True,True,True,False,9.0,1.0,24.0,Before,1.0,1.0,1.0,False,False,True,True,True,6.0,1.0,21.0,Surrounding,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,2.0,1.0,15.0,Overlap-Before,0.5,0.5,1.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,15.0,29.0,70.0,Overlap-Both,18.93,10.33,28.0,True,,,,,12.0,29.0,67.0,Overlap-Both,17.92,10.33,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,10.0,29.0,64.0,Overlap-Both,12.0,8.75,28.0,,,,,,,,,,,,,True,,,,,8.0,29.0,58.0,Overlap-Both,6.12,7.0,28.0,True,,,,,3.0,29.0,58.0,Overlap-After,2.67,4.0,28.0
,,,,,,,,,,,,False,False,False,False,False,6.0,7.0,46.0,Before,12.33,13.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,12.0,5.0,42.0,Overlap-Both,8.46,8.46,5.0,True,False,True,True,True,9.0,5.0,42.0,Surrounding,7.64,6.67,5.0
False,False,True,False,False,2.0,3.0,16.0,Inside,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,12.0,3.0,26.0,Before,1.0,1.0,3.0,True,True,True,False,True,9.0,3.0,23.0,Before,1.0,1.0,3.0,True,True,True,True,True,6.0,3.0,20.0,Surrounding,4.33,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,3.0,3.0,14.0,Overlap-Both,1.67,1.67,3.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,,,,5.0,34.0,47.0,Surrounding,11.6,11.6,34.0,True,True,,,,0.0,34.0,47.0,Overlap-Both,0.0,0.0,34.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,12.0,17.0,41.0,Before,1.0,1.0,17.0,False,False,,,,9.0,17.0,38.0,Before,1.0,1.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,4.0,17.0,29.0,Surrounding,5.0,5.0,17.0,False,True,,,,4.0,17.0,29.0,Surrounding,5.0,5.0,17.0
False,True,True,True,True,2.0,7.0,41.0,After,11.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,12.0,7.0,51.0,Before,6.0,6.0,7.0,True,True,True,True,True,9.0,7.0,48.0,Before,6.0,6.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,6.0,7.0,43.0,Overlap-Both,1.83,1.67,7.0,,,,,,,,,,,,,True,True,True,True,True,10.0,7.0,39.0,Overlap-Both,6.4,6.4,7.0,True,True,True,True,True,0.0,7.0,39.0,Overlap-Both,0.0,0.0,7.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,,12.0,3.0,24.0,Before,1.0,1.0,3.0,True,False,True,True,,9.0,3.0,21.0,Before,1.0,1.0,3.0,True,True,True,True,,6.0,3.0,18.0,Surrounding,1.0,1.0,3.0,,,,,,,,,,,,,True,True,True,False,,5.0,3.0,16.0,Surrounding,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,,2.0,3.0,12.0,Overlap-Before,0.5,0.5,3.0,,,,,,,,,,,,
